ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8858695652173914,0.9299378287900525,0.8715596330275229,0.9313725490196079,0.9004739336492891,0.7693833294492657
Decision Tree,0.7934782608695652,0.7910090865614539,0.8137254901960784,0.8137254901960784,0.8137254901960784,0.5820181731229077
kNN,0.9130434782608695,0.9502630320420852,0.9134615384615384,0.9313725490196079,0.9223300970873787,0.8237861301770515
Naive Bayes (Gaussian),0.8858695652173914,0.9117647058823529,0.8932038834951457,0.9019607843137255,0.8975609756097561,0.7687801607955486
Random Forest,0.9021739130434783,0.9331061692969871,0.8962264150943396,0.9313725490196079,0.9134615384615384,0.8018411590293816
XGBoost,0.8695652173913043,0.9283835485413678,0.8979591836734694,0.8627450980392157,0.88,0.7379758221744628
